Connected to IBKR PAPER port 7497
Accounts: ['DU6178014']
Date: 2026-02-20

=== ALL FILLS (with P&L) ===
Total fills returned: 336
Total fills ever:  336
Today's fills:     336

      date     time symbol side  shares  fill_px  commission  realized_pnl
2026-02-20 14:30:19   TSLA  SLD      40   405.86    1.007800      0.000000
2026-02-20 14:30:19   TSLA  SLD     120   405.77    0.023400      0.000000
2026-02-20 14:31:13   TSLA  SLD     800   406.90    3.956000      0.000000
2026-02-20 14:31:23   TSLA  BOT      80   407.48    1.000000    -62.582267
2026-02-20 14:31:23   TSLA  BOT      40   407.48    0.000000    -30.791133
2026-02-20 14:31:23   TSLA  BOT     155   407.48    0.375000   -119.690642
2026-02-20 14:31:24   TSLA  BOT      35   407.48    0.175000    -27.117242
2026-02-20 14:31:24   TSLA  BOT      10   407.48    0.050000     -7.747783
2026-02-20 14:31:35   TSLA  SLD     200   407.03    1.039000      0.000000
2026-02-20 14:31:36   TSLA  SLD      55   407.09    0.285725      0.000000
2026-02-20 14:31:37   TSLA  BOT     100   407.48    0.500000    -68.146129
2026-02-20 14:31:38   TSLA  BOT      80   407.60    0.400000    -64.116904
2026-02-20 14:31:39   TSLA  BOT     100   407.64    0.500000    -84.146129
2026-02-20 14:31:39   TSLA  BOT     240   407.64    1.200000   -201.950711
2026-02-20 14:31:39   TSLA  BOT     240   407.64    1.200000   -201.950711
2026-02-20 14:31:40   TSLA  BOT     135   407.80    0.675000   -135.197275
2026-02-20 14:41:11   TSLA  SLD     200   409.14    1.039000      0.000000
2026-02-20 14:41:12   TSLA  SLD      40   409.14    0.207800      0.000000
2026-02-20 14:41:12   TSLA  SLD      80   409.13    0.415600      0.000000
2026-02-20 14:41:12   TSLA  SLD      80   409.13    0.415600      0.000000
2026-02-20 14:41:12   TSLA  SLD      40   409.13    0.207800      0.000000
2026-02-20 14:41:12   TSLA  SLD      47   409.13    0.244165      0.000000
2026-02-20 14:41:12   TSLA  SLD      80   409.13    0.415600      0.000000
2026-02-20 14:41:12   TSLA  SLD     160   409.13    0.831200      0.000000
2026-02-20 14:41:12   TSLA  SLD      40   409.13    0.207800      0.000000
2026-02-20 14:41:12   TSLA  SLD      80   409.13    0.415600      0.000000
2026-02-20 14:41:12   TSLA  SLD      40   409.14    0.207800      0.000000
2026-02-20 14:41:12   TSLA  SLD     160   409.14    0.831200      0.000000
2026-02-20 14:41:12   TSLA  SLD      94   409.14    0.488330      0.000000
2026-02-20 14:41:12   TSLA  SLD      80   409.14    0.415600      0.000000
2026-02-20 14:41:12   TSLA  BOT     760   409.19    3.800000    -49.526415
2026-02-20 14:41:12   TSLA  BOT      40   409.19    0.200000     -2.606653
2026-02-20 14:41:12   TSLA  BOT     100   409.19    0.500000     -6.516633
2026-02-20 14:41:12   TSLA  BOT      40   409.29    0.200000     -6.606653
2026-02-20 14:41:13   TSLA  BOT      40   409.29    0.200000     -6.606653
2026-02-20 14:41:13   TSLA  BOT      40   409.29    0.200000     -6.606653
2026-02-20 14:41:13   TSLA  BOT     120   409.29    0.600000    -19.819960
2026-02-20 14:41:13   TSLA  BOT      40   409.29    0.200000     -6.606653
2026-02-20 14:41:13   TSLA  BOT      40   409.29    0.200000     -6.606653
2026-02-20 14:41:13   TSLA  BOT       1   409.29    0.005000     -0.165166
2026-02-20 14:45:06   TSLA  SLD     500   410.05    2.597500      0.000000
2026-02-20 14:45:06   TSLA  SLD      80   410.05    0.415600      0.000000
2026-02-20 14:45:07   TSLA  SLD      40   410.01    0.207800      0.000000
2026-02-20 14:45:07   TSLA  SLD      40   410.01    0.207800      0.000000
2026-02-20 14:45:07   TSLA  SLD      40   410.01    0.207800      0.000000
2026-02-20 14:45:07   TSLA  SLD     240   410.01    1.246800      0.000000
2026-02-20 14:45:07   TSLA  SLD      40   410.05    0.207800      0.000000
2026-02-20 14:45:08   TSLA  SLD     100   410.05    0.519500      0.000000
2026-02-20 14:45:08   TSLA  SLD      80   409.98    0.415600      0.000000
2026-02-20 14:45:08   TSLA  SLD      59   409.98    0.306505      0.000000
2026-02-20 14:45:13   TSLA  BOT      40   409.83    1.000000      6.800403
2026-02-20 14:45:13   TSLA  BOT      40   409.83    0.000000      7.800403
2026-02-20 14:45:13   TSLA  BOT     160   409.83    0.200000     31.001614
2026-02-20 14:45:13   TSLA  BOT     280   409.83    1.400000     53.202824
2026-02-20 14:45:13   TSLA  BOT      80   409.83    0.400000     15.200807
2026-02-20 14:45:13   TSLA  BOT      80   409.83    0.400000     15.200807
2026-02-20 14:45:13   TSLA  BOT     120   409.83    0.600000     22.801210
2026-02-20 14:45:13   TSLA  BOT      40   409.83    0.200000      7.600403
2026-02-20 14:45:13   TSLA  BOT     120   409.83    0.600000     22.801210
2026-02-20 14:45:13   TSLA  BOT     259   409.77    1.295000     64.752612
2026-02-20 14:50:06   TSLA  BOT      80   409.08    1.000000      0.000000
2026-02-20 14:50:07   TSLA  BOT     200   409.08    0.400000      0.000000
2026-02-20 14:50:07   TSLA  BOT      40   409.14    0.200000      0.000000
2026-02-20 14:50:07   TSLA  BOT      80   409.14    0.400000      0.000000
2026-02-20 14:50:07   TSLA  BOT      40   409.14    0.200000      0.000000
2026-02-20 14:50:07   TSLA  BOT     120   409.14    0.600000      0.000000
2026-02-20 14:50:07   TSLA  BOT     120   409.14    0.600000      0.000000
2026-02-20 14:50:07   TSLA  BOT     200   409.14    1.000000      0.000000
2026-02-20 14:50:07   TSLA  BOT      40   409.11    0.200000      0.000000
2026-02-20 14:50:07   TSLA  BOT     120   409.11    0.600000      0.000000
2026-02-20 14:50:07   TSLA  BOT      40   409.11    0.200000      0.000000
2026-02-20 14:50:07   TSLA  BOT      80   409.11    0.400000      0.000000
2026-02-20 14:50:07   TSLA  BOT      62   409.10    0.310000      0.000000
2026-02-20 14:50:31   TSLA  SLD     102   408.30    1.019890    -84.899448
2026-02-20 14:50:31   TSLA  SLD     700   408.30    3.146500   -578.790526
2026-02-20 14:50:31   TSLA  SLD      18   408.30    0.093510    -14.895785
2026-02-20 14:50:32   TSLA  SLD      80   408.29    0.415600    -67.003489
2026-02-20 14:50:32   TSLA  SLD      40   408.29    0.207800    -33.501744
2026-02-20 14:50:32   TSLA  SLD      40   408.29    0.207800    -33.501744
2026-02-20 14:50:32   TSLA  SLD      40   408.29    0.207800    -33.501744
2026-02-20 14:50:32   TSLA  SLD      40   408.29    0.207800    -33.501744
2026-02-20 14:50:32   TSLA  SLD      40   408.29    0.207800    -33.501744
2026-02-20 14:50:32   TSLA  SLD      40   408.29    0.207800    -33.501744
2026-02-20 14:50:32   TSLA  SLD      40   408.29    0.207800    -33.501744
2026-02-20 14:50:32   TSLA  SLD      42   408.27    0.218190    -36.016832
2026-02-20 14:55:06   TSLA  BOT      80   408.24    1.000000      0.000000
2026-02-20 14:55:06   TSLA  BOT     880   408.24    3.800000      0.000000
2026-02-20 14:55:06   TSLA  BOT      39   408.24    0.195000      0.000000
2026-02-20 14:55:06   TSLA  BOT      40   408.24    0.200000      0.000000
2026-02-20 14:55:07   TSLA  BOT      80   408.18    0.400000      0.000000
2026-02-20 14:55:07   TSLA  BOT      80   408.22    0.400000      0.000000
2026-02-20 14:55:08   TSLA  BOT      26   408.36    0.130000      0.000000
2026-02-20 15:01:11   TSLA  SLD      40   409.36    1.007800     43.699302
2026-02-20 15:01:11   TSLA  SLD      40   409.36    0.007800     44.699302
2026-02-20 15:01:11   TSLA  SLD      25   409.36    0.004875     27.937064
2026-02-20 15:01:21   TSLA  SLD      80   409.36    0.015600     89.398604
2026-02-20 15:01:21   TSLA  SLD      80   409.36    0.340600     89.073604
2026-02-20 15:01:21   TSLA  SLD     320   409.36    1.662400    355.994416
2026-02-20 15:01:21   TSLA  SLD      80   409.36    0.415600     88.998604
2026-02-20 15:01:31   TSLA  SLD      80   409.36    0.415600     88.998604
2026-02-20 15:01:31   TSLA  SLD     240   409.36    1.246800    266.995812
2026-02-20 15:01:31   TSLA  SLD      40   409.36    0.207800     44.499302
2026-02-20 15:01:31   TSLA  SLD      80   409.36    0.415600     88.998604
2026-02-20 15:01:31   TSLA  SLD     120   409.36    0.623400    133.497906
2026-02-20 15:05:07   TSLA  SLD     200   410.42    1.039000      0.000000
2026-02-20 15:05:08   TSLA  SLD      80   410.31    0.415600      0.000000
2026-02-20 15:05:08   TSLA  SLD      40   410.14    0.207800      0.000000
2026-02-20 15:05:08   TSLA  SLD      40   410.22    0.207800      0.000000
2026-02-20 15:05:08   TSLA  SLD      40   410.22    0.207800      0.000000
2026-02-20 15:05:09   TSLA  SLD     200   410.33    1.039000      0.000000
