Starting simulation at 2026-02-10 17:06:14.047611
  Progress: 0.0% (bar 200/19548)
  Opened 100 positions, max concurrent: 11
  Opened 200 positions, max concurrent: 11
  Opened 300 positions, max concurrent: 13
  Opened 400 positions, max concurrent: 13
  Opened 500 positions, max concurrent: 13
  Opened 600 positions, max concurrent: 13
  Opened 700 positions, max concurrent: 13
  Opened 800 positions, max concurrent: 21
  Opened 900 positions, max concurrent: 21
  Opened 1000 positions, max concurrent: 21
  Opened 1100 positions, max concurrent: 21
  Opened 1200 positions, max concurrent: 21
  Opened 1300 positions, max concurrent: 21
  Opened 1400 positions, max concurrent: 21
  Opened 1500 positions, max concurrent: 21
  Opened 1600 positions, max concurrent: 21
  Opened 1700 positions, max concurrent: 21
  Opened 1800 positions, max concurrent: 21
  Opened 1900 positions, max concurrent: 21
  Opened 2000 positions, max concurrent: 21
  Opened 2100 positions, max concurrent: 21
  Opened 2200 positions, max concurrent: 21
  Opened 2300 positions, max concurrent: 21
  Opened 2400 positions, max concurrent: 21
  Opened 2500 positions, max concurrent: 21
  Opened 2600 positions, max concurrent: 21
  Opened 2700 positions, max concurrent: 21
  Opened 2800 positions, max concurrent: 21
  Opened 2900 positions, max concurrent: 21
  Opened 3000 positions, max concurrent: 21
  Opened 3100 positions, max concurrent: 21
  Opened 3200 positions, max concurrent: 21
  Opened 3300 positions, max concurrent: 21
  Opened 3400 positions, max concurrent: 21
  Opened 3500 positions, max concurrent: 21
  Opened 3600 positions, max concurrent: 21
  Opened 3700 positions, max concurrent: 21
  Opened 3800 positions, max concurrent: 21
  Opened 3900 positions, max concurrent: 21
  Opened 4000 positions, max concurrent: 21
  Opened 4100 positions, max concurrent: 21
  Opened 4200 positions, max concurrent: 21
  Opened 4300 positions, max concurrent: 21
  Opened 4400 positions, max concurrent: 21
  Opened 4500 positions, max concurrent: 21
  Opened 4600 positions, max concurrent: 21
  Opened 4700 positions, max concurrent: 21
  Opened 4800 positions, max concurrent: 21
  Opened 4900 positions, max concurrent: 21
  Opened 5000 positions, max concurrent: 21
  Opened 5100 positions, max concurrent: 21
  Opened 5200 positions, max concurrent: 21
  Opened 5300 positions, max concurrent: 21
  Opened 5400 positions, max concurrent: 21
  Opened 5500 positions, max concurrent: 21
  Opened 5600 positions, max concurrent: 21
  Opened 5700 positions, max concurrent: 21
  Opened 5800 positions, max concurrent: 21
  Opened 5900 positions, max concurrent: 21
  Opened 6000 positions, max concurrent: 21
  Opened 6100 positions, max concurrent: 21
  Opened 6200 positions, max concurrent: 21
  Opened 6300 positions, max concurrent: 21
  Opened 6400 positions, max concurrent: 21
  Opened 6500 positions, max concurrent: 21
  Opened 6600 positions, max concurrent: 21
  Opened 6700 positions, max concurrent: 21
  Opened 6800 positions, max concurrent: 23
  Opened 6900 positions, max concurrent: 23
  Opened 7000 positions, max concurrent: 23
  Opened 7100 positions, max concurrent: 23
  Opened 7200 positions, max concurrent: 23
  Opened 7300 positions, max concurrent: 23
  Opened 7400 positions, max concurrent: 23
  Opened 7500 positions, max concurrent: 23
  Opened 7600 positions, max concurrent: 23
  Opened 7700 positions, max concurrent: 23
  Opened 7800 positions, max concurrent: 23
  Opened 7900 positions, max concurrent: 23
  Opened 8000 positions, max concurrent: 23
  Opened 8100 positions, max concurrent: 23
  Opened 8200 positions, max concurrent: 23
  Opened 8300 positions, max concurrent: 23
  Opened 8400 positions, max concurrent: 23
  Opened 8500 positions, max concurrent: 23
  Opened 8600 positions, max concurrent: 23
  Opened 8700 positions, max concurrent: 23
  Opened 8800 positions, max concurrent: 23
